gene	snp
ENSG00000095932	snp_182
ENSG00000099331	snp_183
ENSG00000099385	snp_184
ENSG00000099797	snp_185
ENSG00000099800	snp_186
ENSG00000099992	snp_187
ENSG00000100038	snp_188
ENSG00000100197	snp_189
ENSG00000100216	snp_190
ENSG00000100299	snp_191
ENSG00000100316	snp_192
ENSG00000100336	snp_193
ENSG00000100347	snp_194
ENSG00000100373	snp_195
ENSG00000100379	snp_196
ENSG00000100429	snp_197
ENSG00000100591	snp_198
ENSG00000100647	snp_199
ENSG00000100678	snp_200
ENSG00000100714	snp_201
ENSG00000100813	snp_202
ENSG00000100815	snp_203
ENSG00000100823	snp_204
ENSG00000100852	snp_205
ENSG00000100918	snp_206
ENSG00000100941	snp_207
ENSG00000100997	snp_208
ENSG00000101052	snp_209
ENSG00000101057	snp_210
ENSG00000101079	snp_211
ENSG00000101188	snp_212
ENSG00000101193	snp_213
ENSG00000101276	snp_214
ENSG00000101292	snp_215
ENSG00000101361	snp_216
ENSG00000101400	snp_217
ENSG00000101470	snp_218
ENSG00000101489	snp_219
ENSG00000101542	snp_220
ENSG00000101745	snp_221
ENSG00000101752	snp_222
ENSG00000101945	snp_223
ENSG00000101997	snp_224
ENSG00000102003	snp_225
ENSG00000102078	snp_226
ENSG00000102290	snp_227
ENSG00000102309	snp_228
ENSG00000102317	snp_229
ENSG00000102755	snp_230
ENSG00000102802	snp_231
ENSG00000102882	snp_232
ENSG00000102900	snp_233
ENSG00000103061	snp_234
ENSG00000103067	snp_235
ENSG00000103199	snp_236
ENSG00000103343	snp_237
ENSG00000103356	snp_238
ENSG00000103502	snp_239
ENSG00000103534	snp_240
ENSG00000103549	snp_241
ENSG00000103569	snp_242
ENSG00000103832	snp_243
ENSG00000103855	snp_244
ENSG00000103966	snp_245
ENSG00000103978	snp_246
ENSG00000104093	snp_247
ENSG00000104129	snp_248
ENSG00000104142	snp_249
ENSG00000104332	snp_250
ENSG00000104368	snp_251
ENSG00000104371	snp_252
ENSG00000104490	snp_253
ENSG00000104613	snp_254
ENSG00000104660	snp_255
ENSG00000104763	snp_256
ENSG00000104879	snp_257
ENSG00000104880	snp_258
ENSG00000104889	snp_259
ENSG00000104980	snp_260
ENSG00000105048	snp_261
ENSG00000105085	snp_262
ENSG00000105251	snp_263
ENSG00000105369	snp_264
ENSG00000105393	snp_265
ENSG00000105397	snp_266
ENSG00000105671	snp_267
ENSG00000105672	snp_268
ENSG00000105694	snp_269
ENSG00000105698	snp_270
ENSG00000105700	snp_271
ENSG00000105711	snp_272
ENSG00000105784	snp_273
ENSG00000105829	snp_274
ENSG00000105855	snp_275
ENSG00000105988	snp_276
ENSG00000105993	snp_277
ENSG00000106034	snp_278
ENSG00000106078	snp_279
ENSG00000106080	snp_280
ENSG00000106263	snp_281
ENSG00000106290	snp_282
ENSG00000106327	snp_283
ENSG00000106351	snp_284
ENSG00000106443	snp_285
ENSG00000106477	snp_286
ENSG00000106537	snp_287
ENSG00000106554	snp_288
ENSG00000106591	snp_289
ENSG00000106603	snp_290
ENSG00000107014	snp_291
ENSG00000107485	snp_292
ENSG00000107521	snp_293
ENSG00000107672	snp_294
ENSG00000107902	snp_295
ENSG00000108039	snp_296
ENSG00000108091	snp_297
ENSG00000108264	snp_298
ENSG00000108387	snp_299
ENSG00000108439	snp_300
ENSG00000108551	snp_301
ENSG00000108561	snp_302
ENSG00000108654	snp_303
ENSG00000108700	snp_304
ENSG00000108785	snp_305
ENSG00000108798	snp_306
ENSG00000108819	snp_307
ENSG00000108946	snp_308
ENSG00000108950	snp_309
ENSG00000108960	snp_310
ENSG00000109101	snp_311
ENSG00000109103	snp_312
ENSG00000109107	snp_313
ENSG00000109458	snp_314
ENSG00000109606	snp_315
ENSG00000109618	snp_316
ENSG00000109674	snp_317
ENSG00000109736	snp_318
ENSG00000109756	snp_319
ENSG00000109805	snp_320
ENSG00000109854	snp_321
ENSG00000109944	snp_322
ENSG00000109956	snp_323
ENSG00000110092	snp_324
ENSG00000110171	snp_325
ENSG00000110321	snp_326
ENSG00000110367	snp_327
ENSG00000110696	snp_328
ENSG00000110697	snp_329
ENSG00000110844	snp_330
ENSG00000110871	snp_331
ENSG00000111012	snp_332
ENSG00000111224	snp_333
ENSG00000111237	snp_334
ENSG00000111241	snp_335
ENSG00000111245	snp_336
ENSG00000111412	snp_337
ENSG00000111536	snp_338
ENSG00000111615	snp_339
ENSG00000111669	snp_340
ENSG00000111678	snp_341
ENSG00000111707	snp_342
ENSG00000111711	snp_343
ENSG00000111907	snp_344
ENSG00000112238	snp_345
ENSG00000112335	snp_346
ENSG00000112486	snp_347
ENSG00000112531	snp_348
ENSG00000112561	snp_349
ENSG00000112599	snp_350
ENSG00000112759	snp_351
ENSG00000113070	snp_352
ENSG00000113088	snp_353
ENSG00000113108	snp_354
ENSG00000113141	snp_355
ENSG00000113194	snp_356
ENSG00000113231	snp_357
ENSG00000113356	snp_358
ENSG00000113389	snp_359
ENSG00000113441	snp_360
ENSG00000113456	snp_361
ENSG00000113504	snp_362
ENSG00000113520	snp_363
ENSG00000113758	snp_364
ENSG00000114026	snp_365
ENSG00000114423	snp_366
ENSG00000114473	snp_367
ENSG00000114491	snp_368
ENSG00000114520	snp_369
ENSG00000114573	snp_370
ENSG00000114631	snp_371
ENSG00000114735	snp_372
ENSG00000114857	snp_373
ENSG00000114993	snp_374
ENSG00000115084	snp_375
ENSG00000115159	snp_376
ENSG00000115274	snp_377
ENSG00000115350	snp_378
ENSG00000115355	snp_379
ENSG00000115419	snp_380
ENSG00000115596	snp_381
ENSG00000115825	snp_382
ENSG00000115827	snp_383
ENSG00000115875	snp_384
ENSG00000115902	snp_385
ENSG00000115904	snp_386
ENSG00000115935	snp_387
ENSG00000115993	snp_388
ENSG00000116032	snp_389
ENSG00000116106	snp_390
ENSG00000116117	snp_391
ENSG00000116171	snp_392
ENSG00000116353	snp_393
ENSG00000116406	snp_394
ENSG00000116580	snp_395
ENSG00000116793	snp_396
ENSG00000116819	snp_397
ENSG00000116857	snp_398
ENSG00000116885	snp_399
ENSG00000116984	snp_400
ENSG00000116985	snp_401
ENSG00000116991	snp_402
ENSG00000117009	snp_403
ENSG00000117036	snp_404
ENSG00000117090	snp_405
ENSG00000117262	snp_406
ENSG00000117298	snp_407
ENSG00000117318	snp_408
ENSG00000117425	snp_409
ENSG00000117479	snp_410
ENSG00000117500	snp_411
ENSG00000117602	snp_412
ENSG00000117620	snp_413
ENSG00000117632	snp_414
ENSG00000117643	snp_415
ENSG00000118197	snp_416
ENSG00000118200	snp_417
ENSG00000118454	snp_418
ENSG00000118473	snp_419
ENSG00000118503	snp_420
ENSG00000118690	snp_421
ENSG00000119013	snp_422
ENSG00000119280	snp_423
ENSG00000119314	snp_424
ENSG00000119321	snp_425
ENSG00000119333	snp_426
ENSG00000119408	snp_427
ENSG00000119535	snp_428
ENSG00000119541	snp_429
ENSG00000119640	snp_430
ENSG00000119718	snp_431
ENSG00000119720	snp_432
ENSG00000119787	snp_433
ENSG00000119946	snp_434
ENSG00000119979	snp_435
ENSG00000120008	snp_436
ENSG00000120162	snp_437
ENSG00000120337	snp_438
ENSG00000120658	snp_439
ENSG00000120675	snp_440
ENSG00000120733	snp_441
ENSG00000120805	snp_442
ENSG00000120896	snp_443
ENSG00000120899	snp_444
ENSG00000120915	snp_445
ENSG00000121577	snp_446
ENSG00000121578	snp_447
ENSG00000121858	snp_448
ENSG00000121879	snp_449
ENSG00000121897	snp_450
ENSG00000121988	snp_451
ENSG00000122025	snp_452
ENSG00000122033	snp_453
ENSG00000122126	snp_454
ENSG00000122188	snp_455
ENSG00000122490	snp_456
ENSG00000122547	snp_457
ENSG00000122566	snp_458
ENSG00000122643	snp_459
ENSG00000122678	snp_460
ENSG00000123080	snp_461
ENSG00000123136	snp_462
ENSG00000123201	snp_463
ENSG00000123349	snp_464
ENSG00000123374	snp_465
ENSG00000123395	snp_466
ENSG00000123600	snp_467
ENSG00000123612	snp_468
ENSG00000123892	snp_469
ENSG00000124003	snp_470
ENSG00000124102	snp_471
ENSG00000124140	snp_472
ENSG00000124160	snp_473
ENSG00000124171	snp_474
ENSG00000124198	snp_475
ENSG00000124217	snp_476
ENSG00000124333	snp_477
ENSG00000124356	snp_478
ENSG00000124469	snp_479
ENSG00000124490	snp_480
ENSG00000124562	snp_481
ENSG00000124564	snp_482
ENSG00000124602	snp_483
ENSG00000124731	snp_484
ENSG00000124733	snp_485
ENSG00000124767	snp_486
ENSG00000124784	snp_487
ENSG00000125084	snp_488
ENSG00000125170	snp_489
ENSG00000125266	snp_490
ENSG00000125375	snp_491
ENSG00000125384	snp_492
ENSG00000125409	snp_493
ENSG00000125430	snp_494
ENSG00000125492	snp_495
ENSG00000125503	snp_496
ENSG00000125505	snp_497
ENSG00000125510	snp_498
ENSG00000125611	snp_499
ENSG00000125656	snp_500
ENSG00000125691	snp_501
ENSG00000125772	snp_502
ENSG00000125775	snp_503
ENSG00000125779	snp_504
ENSG00000125810	snp_505
ENSG00000125821	snp_506
ENSG00000125845	snp_507
ENSG00000125850	snp_508
ENSG00000125901	snp_509
ENSG00000125912	snp_510
ENSG00000125945	snp_511
ENSG00000126016	snp_512
ENSG00000126106	snp_513
ENSG00000126246	snp_514
ENSG00000126249	snp_515
ENSG00000126259	snp_516
ENSG00000126353	snp_517
ENSG00000126746	snp_518
ENSG00000126860	snp_519
ENSG00000127325	snp_520
ENSG00000127364	snp_521
ENSG00000127511	snp_522
ENSG00000127533	snp_523
ENSG00000127554	snp_524
ENSG00000127580	snp_525
ENSG00000127951	snp_526
ENSG00000127954	snp_527
ENSG00000127980	snp_528
ENSG00000127993	snp_529
ENSG00000128191	snp_530
ENSG00000128242	snp_531
ENSG00000128581	snp_532
ENSG00000128617	snp_533
ENSG00000128699	snp_534
ENSG00000128908	snp_535
ENSG00000129007	snp_536
ENSG00000129245	snp_537
ENSG00000129282	snp_538
ENSG00000129467	snp_539
ENSG00000129538	snp_540
ENSG00000129595	snp_541
ENSG00000129744	snp_542
ENSG00000129932	snp_543
ENSG00000130038	snp_544
ENSG00000130052	snp_545
ENSG00000130177	snp_546
ENSG00000130202	snp_547
ENSG00000130222	snp_548
ENSG00000130312	snp_549
ENSG00000130413	snp_550
ENSG00000130477	snp_551
ENSG00000130487	snp_552
ENSG00000130508	snp_553
ENSG00000130511	snp_554
ENSG00000130518	snp_555
ENSG00000130589	snp_556
ENSG00000130711	snp_557
ENSG00000130770	snp_558
ENSG00000130772	snp_559
ENSG00000130940	snp_560
ENSG00000131013	snp_561
ENSG00000131042	snp_562
ENSG00000131097	snp_563
ENSG00000131126	snp_564
ENSG00000131127	snp_565
ENSG00000131374	snp_566
ENSG00000131378	snp_567
ENSG00000131503	snp_568
ENSG00000131558	snp_569
ENSG00000131686	snp_570
ENSG00000131828	snp_571
ENSG00000131844	snp_572
ENSG00000132155	snp_573
ENSG00000132313	snp_574
ENSG00000132361	snp_575
ENSG00000132478	snp_576
ENSG00000132570	snp_577
ENSG00000132622	snp_578
ENSG00000132640	snp_579
ENSG00000132670	snp_580
ENSG00000132698	snp_581
ENSG00000132773	snp_582
ENSG00000132793	snp_583
ENSG00000132881	snp_584
ENSG00000133028	snp_585
ENSG00000133048	snp_586
ENSG00000133063	snp_587
ENSG00000133136	snp_588
ENSG00000133246	snp_589
ENSG00000133256	snp_590
ENSG00000133328	snp_591
ENSG00000133488	snp_592
ENSG00000133627	snp_593
ENSG00000133706	snp_594
ENSG00000133739	snp_595
ENSG00000133874	snp_596
ENSG00000133958	snp_597
ENSG00000133962	snp_598
ENSG00000133997	snp_599
ENSG00000134001	snp_600
ENSG00000134013	snp_601
ENSG00000134058	snp_602
ENSG00000134153	snp_603
ENSG00000134207	snp_604
ENSG00000134321	snp_605
ENSG00000134323	snp_606
ENSG00000134453	snp_607
ENSG00000134597	snp_608
ENSG00000134602	snp_609
ENSG00000134668	snp_610
ENSG00000134686	snp_611
ENSG00000134697	snp_612
ENSG00000134709	snp_613
ENSG00000134759	snp_614
ENSG00000134871	snp_615
ENSG00000135052	snp_616
ENSG00000135070	snp_617
ENSG00000135074	snp_618
ENSG00000135119	snp_619
ENSG00000135148	snp_620
ENSG00000135175	snp_621
ENSG00000135297	snp_622
ENSG00000135341	snp_623
ENSG00000135392	snp_624
ENSG00000135636	snp_625
ENSG00000135655	snp_626
ENSG00000135801	snp_627
ENSG00000135835	snp_628
ENSG00000135956	snp_629
ENSG00000136010	snp_630
ENSG00000136048	snp_631
ENSG00000136114	snp_632
ENSG00000136250	snp_633
ENSG00000136319	snp_634
ENSG00000136436	snp_635
ENSG00000136504	snp_636
ENSG00000136603	snp_637
ENSG00000136689	snp_638
ENSG00000136813	snp_639
ENSG00000136842	snp_640
ENSG00000136891	snp_641
ENSG00000136933	snp_642
ENSG00000136938	snp_643
ENSG00000136950	snp_644
ENSG00000137216	snp_645
ENSG00000137500	snp_646
ENSG00000137675	snp_647
ENSG00000137700	snp_648
ENSG00000137720	snp_649
ENSG00000137764	snp_650
ENSG00000137767	snp_651
ENSG00000137801	snp_652
ENSG00000137825	snp_653
ENSG00000137869	snp_654
ENSG00000137962	snp_655
ENSG00000138138	snp_656
ENSG00000138180	snp_657
ENSG00000138381	snp_658
ENSG00000138587	snp_659
ENSG00000138668	snp_660
ENSG00000138698	snp_661
ENSG00000138755	snp_662
ENSG00000138814	snp_663
ENSG00000139146	snp_664
ENSG00000139223	snp_665
ENSG00000139343	snp_666
ENSG00000139572	snp_667
ENSG00000139620	snp_668
ENSG00000139645	snp_669
ENSG00000139714	snp_670
ENSG00000139722	snp_671
ENSG00000139734	snp_672
ENSG00000139890	snp_673
ENSG00000140006	snp_674
ENSG00000140025	snp_675
ENSG00000140057	snp_676
ENSG00000140199	snp_677
ENSG00000140263	snp_678
ENSG00000140382	snp_679
ENSG00000140403	snp_680
ENSG00000140416	snp_681
ENSG00000140463	snp_682
ENSG00000140481	snp_683
ENSG00000140522	snp_684
ENSG00000140623	snp_685
ENSG00000140807	snp_686
ENSG00000140836	snp_687
ENSG00000141030	snp_688
ENSG00000141096	snp_689
ENSG00000141098	snp_690
ENSG00000141198	snp_691
ENSG00000141349	snp_692
ENSG00000141378	snp_693
ENSG00000141551	snp_694
ENSG00000141569	snp_695
ENSG00000141577	snp_696
ENSG00000141646	snp_697
ENSG00000141682	snp_698
ENSG00000141699	snp_699
ENSG00000141977	snp_700
ENSG00000142002	snp_701
ENSG00000142102	snp_702
ENSG00000142149	snp_703
ENSG00000142230	snp_704
ENSG00000142330	snp_705
ENSG00000142449	snp_706
ENSG00000142484	snp_707
ENSG00000142528	snp_708
ENSG00000142530	snp_709
ENSG00000142552	snp_710
ENSG00000142606	snp_711
ENSG00000142634	snp_712
ENSG00000142675	snp_713
ENSG00000142875	snp_714
ENSG00000143093	snp_715
ENSG00000143119	snp_716
ENSG00000143149	snp_717
ENSG00000143167	snp_718
ENSG00000143222	snp_719
ENSG00000143258	snp_720
ENSG00000143340	snp_721
ENSG00000143344	snp_722
ENSG00000143387	snp_723
ENSG00000143418	snp_724
ENSG00000143443	snp_725
ENSG00000143493	snp_726
ENSG00000143578	snp_727
ENSG00000143590	snp_728
ENSG00000143612	snp_729
ENSG00000143622	snp_730
ENSG00000143624	snp_731
ENSG00000143630	snp_732
ENSG00000143643	snp_733
ENSG00000143748	snp_734
ENSG00000143797	snp_735
ENSG00000143815	snp_736
ENSG00000143845	snp_737
ENSG00000143847	snp_738
ENSG00000143870	snp_739
ENSG00000144029	snp_740
ENSG00000144036	snp_741
ENSG00000144040	snp_742
ENSG00000144061	snp_743
ENSG00000144118	snp_744
ENSG00000144134	snp_745
ENSG00000144152	snp_746
ENSG00000144224	snp_747
ENSG00000144233	snp_748
ENSG00000144426	snp_749
ENSG00000144481	snp_750
ENSG00000144524	snp_751
ENSG00000144535	snp_752
ENSG00000144579	snp_753
ENSG00000144580	snp_754
ENSG00000144589	snp_755
ENSG00000144619	snp_756
ENSG00000144713	snp_757
ENSG00000144827	snp_758
ENSG00000145012	snp_759
ENSG00000145022	snp_760
ENSG00000145041	snp_761
ENSG00000145063	snp_762
ENSG00000145332	snp_763
ENSG00000145416	snp_764
ENSG00000145506	snp_765
ENSG00000145569	snp_766
ENSG00000145700	snp_767
ENSG00000145708	snp_768
ENSG00000145721	snp_769
ENSG00000145725	snp_770
ENSG00000145741	snp_771
ENSG00000145835	snp_772
ENSG00000145839	snp_773
ENSG00000145868	snp_774
ENSG00000145916	snp_775
ENSG00000145919	snp_776
ENSG00000145936	snp_777
ENSG00000146038	snp_778
ENSG00000146063	snp_779
ENSG00000146205	snp_780
ENSG00000146386	snp_781
ENSG00000146411	snp_782
ENSG00000146426	snp_783
ENSG00000146433	snp_784
ENSG00000146535	snp_785
ENSG00000146828	snp_786
ENSG00000146904	snp_787
ENSG00000147255	snp_788
ENSG00000147408	snp_789
ENSG00000147454	snp_790
ENSG00000147586	snp_791
ENSG00000147804	snp_792
ENSG00000147813	snp_793
ENSG00000147889	snp_794
ENSG00000147905	snp_795
ENSG00000148300	snp_796
ENSG00000148341	snp_797
ENSG00000148429	snp_798
ENSG00000148734	snp_799
ENSG00000148935	snp_800
ENSG00000148985	snp_801
ENSG00000149021	snp_802
ENSG00000149131	snp_803
ENSG00000149269	snp_804
ENSG00000149289	snp_805
ENSG00000149305	snp_806
ENSG00000149403	snp_807
ENSG00000149488	snp_808
ENSG00000149489	snp_809
ENSG00000149506	snp_810
ENSG00000149564	snp_811
ENSG00000149575	snp_812
ENSG00000149633	snp_813
ENSG00000149679	snp_814
ENSG00000149782	snp_815
ENSG00000149809	snp_816
ENSG00000149932	snp_817
ENSG00000150403	snp_818
ENSG00000150779	snp_819
ENSG00000150873	snp_820
ENSG00000150938	snp_821
ENSG00000151062	snp_822
ENSG00000151552	snp_823
ENSG00000151576	snp_824
ENSG00000151687	snp_825
ENSG00000151689	snp_826
ENSG00000151702	snp_827
ENSG00000151914	snp_828
ENSG00000151923	snp_829
ENSG00000151952	snp_830
ENSG00000152128	snp_831
ENSG00000152207	snp_832
ENSG00000152292	snp_833
ENSG00000152332	snp_834
ENSG00000152409	snp_835
ENSG00000152492	snp_836
ENSG00000152749	snp_837
ENSG00000153201	snp_838
ENSG00000153317	snp_839
ENSG00000153802	snp_840
ENSG00000153814	snp_841
ENSG00000153823	snp_842
ENSG00000153902	snp_843
ENSG00000154040	snp_844
ENSG00000154102	snp_845
ENSG00000154127	snp_846
ENSG00000154263	snp_847
ENSG00000154305	snp_848
ENSG00000154545	snp_849
ENSG00000154832	snp_850
ENSG00000155008	snp_851
ENSG00000155026	snp_852
ENSG00000155090	snp_853
ENSG00000155093	snp_854
ENSG00000155096	snp_855
ENSG00000155324	snp_856
ENSG00000155876	snp_857
ENSG00000155893	snp_858
ENSG00000155926	snp_859
ENSG00000155959	snp_860
ENSG00000156206	snp_861
ENSG00000156265	snp_862
ENSG00000156313	snp_863
ENSG00000156509	snp_864
ENSG00000156650	snp_865
ENSG00000156689	snp_866
ENSG00000156755	snp_867
ENSG00000156958	snp_868
ENSG00000157181	snp_869
ENSG00000157214	snp_870
ENSG00000157224	snp_871
ENSG00000157399	snp_872
ENSG00000157601	snp_873
ENSG00000157927	snp_874
ENSG00000157985	snp_875
ENSG00000158428	snp_876
ENSG00000158560	snp_877
ENSG00000158805	snp_878
ENSG00000158887	snp_879
ENSG00000158941	snp_880
ENSG00000159214	snp_881
ENSG00000159217	snp_882
ENSG00000159387	snp_883
ENSG00000159399	snp_884
ENSG00000159403	snp_885
ENSG00000159409	snp_886
ENSG00000159713	snp_887
ENSG00000159723	snp_888
ENSG00000159899	snp_889
ENSG00000159958	snp_890
ENSG00000160055	snp_891
ENSG00000160072	snp_892
ENSG00000160111	snp_893
ENSG00000160193	snp_894
ENSG00000160214	snp_895
ENSG00000160233	snp_896
ENSG00000160256	snp_897
ENSG00000160310	snp_898
ENSG00000160339	snp_899
ENSG00000160360	snp_900
ENSG00000160396	snp_901
ENSG00000160401	snp_902
ENSG00000160404	snp_903
ENSG00000160469	snp_904
ENSG00000160685	snp_905
ENSG00000160703	snp_906
ENSG00000160803	snp_907
ENSG00000160948	snp_908
ENSG00000160949	snp_909
ENSG00000161013	snp_910
ENSG00000161031	snp_911
ENSG00000161277	snp_912
ENSG00000161509	snp_913
ENSG00000161647	snp_914
ENSG00000161920	snp_915
ENSG00000162032	snp_916
ENSG00000162194	snp_917
ENSG00000162290	snp_918
ENSG00000162415	snp_919
ENSG00000162482	snp_920
ENSG00000162542	snp_921
ENSG00000162669	snp_922
ENSG00000162722	snp_923
ENSG00000162736	snp_924
ENSG00000162889	snp_925
ENSG00000162894	snp_926
ENSG00000162989	snp_927
ENSG00000162997	snp_928
ENSG00000163032	snp_929
ENSG00000163116	snp_930
ENSG00000163125	snp_931
ENSG00000163131	snp_932
ENSG00000163145	snp_933
ENSG00000163159	snp_934
ENSG00000163291	snp_935
ENSG00000163312	snp_936
ENSG00000163362	snp_937
ENSG00000163389	snp_938
ENSG00000163430	snp_939
ENSG00000163467	snp_940
ENSG00000163481	snp_941
ENSG00000163491	snp_942
ENSG00000163507	snp_943
ENSG00000163590	snp_944
ENSG00000163602	snp_945
ENSG00000163637	snp_946
ENSG00000163673	snp_947
ENSG00000163682	snp_948
ENSG00000163738	snp_949
ENSG00000163811	snp_950
ENSG00000163817	snp_951
ENSG00000163879	snp_952
ENSG00000163935	snp_953
ENSG00000163960	snp_954
ENSG00000163993	snp_955
ENSG00000164008	snp_956
ENSG00000164048	snp_957
ENSG00000164086	snp_958
ENSG00000164111	snp_959
ENSG00000164112	snp_960
ENSG00000164128	snp_961
ENSG00000164164	snp_962
ENSG00000164185	snp_963
ENSG00000164211	snp_964
ENSG00000164251	snp_965
ENSG00000164284	snp_966
ENSG00000164303	snp_967
ENSG00000164304	snp_968
ENSG00000164305	snp_969
ENSG00000164334	snp_970
ENSG00000164366	snp_971
ENSG00000164411	snp_972
ENSG00000164440	snp_973
ENSG00000164442	snp_974
ENSG00000164604	snp_975
ENSG00000164683	snp_976
ENSG00000164751	snp_977
ENSG00000164879	snp_978
ENSG00000164898	snp_979
ENSG00000164935	snp_980
ENSG00000164941	snp_981
ENSG00000164975	snp_982
ENSG00000165060	snp_983
ENSG00000165071	snp_984
ENSG00000165076	snp_985
ENSG00000165169	snp_986
ENSG00000165181	snp_987
ENSG00000165185	snp_988
ENSG00000165209	snp_989
ENSG00000165240	snp_990
ENSG00000165269	snp_991
ENSG00000165359	snp_992
ENSG00000165533	snp_993
ENSG00000165555	snp_994
ENSG00000165621	snp_995
ENSG00000165626	snp_996
ENSG00000165671	snp_997
ENSG00000165702	snp_998
ENSG00000165915	snp_999
